steps,rewards,intrinsic_rewards
22,22.0,0.03693616837263107
51,29.0,0.040230575762689125
73,22.0,0.03682314921170474
93,20.0,0.022454150673002004
106,13.0,0.018181567732244733
128,22.0,0.02275308454409242
152,24.0,0.032715398538857694
166,14.0,0.023240227065980435
183,17.0,0.02648322442546487
201,18.0,0.025850537605583663
214,13.0,0.022951451875269414
228,14.0,0.0240712664090097
250,22.0,0.027879490330815312
264,14.0,0.022382268216460943
274,10.0,0.016987355053424837
287,13.0,0.021177847031503914
296,9.0,0.01883413763716817
310,14.0,0.01998173510655761
323,13.0,0.018377320002764465
337,14.0,0.028665920533239842
348,11.0,0.022211167495697737
367,19.0,0.03706680228933692
386,19.0,0.030017001740634444
399,13.0,0.02807409269735217
411,12.0,0.02437781086191535
421,10.0,0.022319537680596115
431,10.0,0.017507673241198066
441,10.0,0.022651061601936816
452,11.0,0.0232396574690938
465,13.0,0.026847366616129877
478,13.0,0.02167037883773446
491,13.0,0.024207970127463344
502,11.0,0.022275726031512025
512,10.0,0.024841320142149924
525,13.0,0.0251166932284832
537,12.0,0.024967064335942268
547,10.0,0.018547701183706522
557,10.0,0.01754112718626857
568,11.0,0.02217799033969641
584,16.0,0.021819130424410107
595,11.0,0.02166899461299181
606,11.0,0.02009394345805049
616,10.0,0.02406927486881614
629,13.0,0.02795519968494773
638,9.0,0.017027887329459188
647,9.0,0.019298546109348537
663,16.0,0.024577281530946495
674,11.0,0.028375110961496832
690,16.0,0.03300186870619655
701,11.0,0.023998241219669585
712,11.0,0.0225173001177609
721,9.0,0.02050565965473652
731,10.0,0.015471937227994205
744,13.0,0.027323956228792672
752,8.0,0.015618449170142412
764,12.0,0.021883550286293033
774,10.0,0.023098515905439855
784,10.0,0.016053047589957715
801,17.0,0.029083999712020157
812,11.0,0.02283450346440077
825,13.0,0.024956573359668263
834,9.0,0.020438408851623537
849,15.0,0.021326427254825836
859,10.0,0.02254249453544617
873,14.0,0.02077856054529548
882,9.0,0.020007020048797133
892,10.0,0.02404299257323146
904,12.0,0.028093303926289084
916,12.0,0.026493152417242528
929,13.0,0.02958013191819191
938,9.0,0.020004966389387847
949,11.0,0.018064955715090036
958,9.0,0.019769211392849685
969,11.0,0.02267244793474674
977,8.0,0.01554051972925663
987,10.0,0.025359442830085753
997,10.0,0.014823420438915493
1006,9.0,0.01993360472843051
1015,9.0,0.01815932365134358
1027,12.0,0.025571880582720044
1036,9.0,0.015113229583948852
1046,10.0,0.019138517137616873
1055,9.0,0.015137148834764958
1083,28.0,0.051318165287375456
1093,10.0,0.013729866687208415
1102,9.0,0.015267017763108017
1113,11.0,0.017812452744692567
1139,26.0,0.047907392960041775
1148,9.0,0.015949754696339368
1171,23.0,0.043090264266356815
1181,10.0,0.015122860949486495
1190,9.0,0.015183690842241051
1200,10.0,0.01455121831968427
1209,9.0,0.0153480407781899
1222,13.0,0.018092260323464872
1233,11.0,0.016049906797707084
1243,10.0,0.01914796670898795
1253,10.0,0.01981443874537945
1263,10.0,0.013994188327342272
1271,8.0,0.01162705458700657
1312,41.0,0.05820039310492575
1323,11.0,0.022398710809648035
1334,11.0,0.023671377170830968
1357,23.0,0.04355571372434497
1368,11.0,0.018493332900106907
1378,10.0,0.019241492822766305
1400,22.0,0.032968166982755065
1413,13.0,0.018820846732705832
1424,11.0,0.013065021019428968
1438,14.0,0.019252917217090725
1449,11.0,0.01488901749253273
1462,13.0,0.019109939131885773
1472,10.0,0.01686296286061406
1481,9.0,0.012381183169782163
1490,9.0,0.01523809707723558
1499,9.0,0.014748195931315423
1508,9.0,0.014908402785658836
1516,8.0,0.011886930745095014
1527,11.0,0.014308629138395191
1539,12.0,0.014408046379685402
1552,13.0,0.015983078023418782
